Pharma Companies,Market Share (In 2020) (In percentage),Revenue Generated 2 (Billion INR)
Sun Pharmaceutical Industries Limited,6.84,273.28
Dr. Reddy's Laboratories,5.5,219.74
Glenmark Pharma Limited,4.43,176.99
Cadila Healthcare Limited,4.88,194.97
Lupin Limited,6.1,243.71
Mankind Pharma Limited,3.93,157.02
Intas Pharmaceuticals Limited,4.67,186.58
Cipla Limited,5.95,237.72
Aurobindo Pharma Limited,6.45,257.7
Torrent Pharmaceuticals Limited,4.25,169.8
Others,45,1877.8
Chem-x,2,79.9
